"","X","date_performed","bioassay_performed","biological_rep_number","technical_rep_number","papers_coated_by","performed_by","kd_scored_by","Mort_ScoredBy","X48hr_scored_by","X72hr_scored_by","mosquito_wet_weights_g","mosquito_dry_weights_g","mosquito_wing_lengths","start_exposure_temperature_c","start_exposure_humidity_percentage","end_exposure_temperature_c","end_exposure_humidity_percentage","X24_hour_temperature_c","Mort_Humid_Perc","X48_hour_temperature_c","X48_hour_humidity_percentage","X72_hour_temperature_c","X72_hour_humidity_percentage","colony","insecticide","concentration_percentage","concentration_mgm2","concentration_ugbottle","Knockdown_60min","Mortality_24hr","X48_hour_dead","X72_hour_dead","total_mosquitoes","data_input_checked","bioassay_notes","RawKDProp","RawMortProp","StartHumidProp","EndHumidProp","MortHumidProp","HumidDelta","Alive"
"79",79,"2022-03-31","WHO_Tubes",1,5,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.804,0.799,0.798,0.5,26
"80",80,"2022-03-31","WHO_Tubes",1,6,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"81",81,"2022-03-31","WHO_Tubes",1,7,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"82",82,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"83",83,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,2,NA,NA,24,NA,NA,0,0.0833333333333333,0.804,0.799,0.798,0.5,22
"84",84,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"85",85,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,26,NA,NA,0,0.0384615384615385,0.804,0.799,0.798,0.5,25
"86",86,"2022-03-31","WHO_Tubes",1,3,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,23,NA,NA,0,0,0.804,0.799,0.798,0.5,23
"87",87,"2022-03-31","WHO_Tubes",1,4,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,26,NA,NA,0,0.0384615384615385,0.804,0.799,0.798,0.5,25
"88",88,"2022-03-31","WHO_Tubes",1,5,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.804,0.799,0.798,0.5,26
"89",89,"2022-03-31","WHO_Tubes",1,6,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"90",90,"2022-03-31","WHO_Tubes",1,7,"Not Assesed","gpr","jag","jag",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"91",91,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,29,NA,NA,0,0,0.804,0.799,0.798,0.5,29
"92",92,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.804,0.799,0.798,0.5,24
"93",93,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,1,2,NA,NA,28,NA,NA,0.0357142857142857,0.0714285714285714,0.804,0.799,0.798,0.5,26
"94",94,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,1,0,NA,NA,28,NA,NA,0.0357142857142857,0,0.804,0.799,0.798,0.5,28
"95",95,"2022-03-31","WHO_Tubes",1,3,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,2,NA,NA,24,NA,NA,0,0.0833333333333333,0.804,0.799,0.798,0.5,22
"96",96,"2022-03-31","WHO_Tubes",1,4,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"97",97,"2022-03-31","WHO_Tubes",1,5,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"98",98,"2022-03-31","WHO_Tubes",1,6,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,30,NA,NA,0,0.0333333333333333,0.804,0.799,0.798,0.5,29
"99",99,"2022-03-31","WHO_Tubes",1,7,"Not Assesed","jag","jag","jag",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,23,NA,NA,0,0.0434782608695652,0.804,0.799,0.798,0.5,22
"100",100,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,29,NA,NA,0,0.0344827586206897,0.804,0.799,0.798,0.5,28
"101",101,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.804,0.799,0.798,0.5,24
"102",102,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,1,2,NA,NA,28,NA,NA,0.0357142857142857,0.0714285714285714,0.804,0.799,0.798,0.5,26
"103",103,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,28,NA,NA,0,0,0.804,0.799,0.798,0.5,28
"104",104,"2022-03-31","WHO_Tubes",1,3,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,2,NA,NA,24,NA,NA,0,0.0833333333333333,0.804,0.799,0.798,0.5,22
"105",105,"2022-03-31","WHO_Tubes",1,4,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"106",106,"2022-03-31","WHO_Tubes",1,5,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"107",107,"2022-03-31","WHO_Tubes",1,6,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,30,NA,NA,0,0.0333333333333333,0.804,0.799,0.798,0.5,29
"108",108,"2022-03-31","WHO_Tubes",1,7,"Not Assesed","jag","gpr","gpr",NA,NA,0.0298,0.00053,3.0616,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,1,1,NA,NA,23,NA,NA,0.0434782608695652,0.0434782608695652,0.804,0.799,0.798,0.5,22
"109",109,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,25,NA,NA,0,0.04,0.778,0.797,0.805,1.90000000000001,24
"110",110,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,24
"111",111,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,2,8,NA,NA,25,NA,NA,0.08,0.32,0.778,0.797,0.805,1.90000000000001,17
"112",112,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,6,NA,NA,25,NA,NA,0,0.24,0.778,0.797,0.805,1.90000000000001,19
"113",113,"2022-04-07","WHO_Tubes",1,3,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,4,10,NA,NA,25,NA,NA,0.16,0.4,0.778,0.797,0.805,1.90000000000001,15
"114",114,"2022-04-07","WHO_Tubes",1,4,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,8,NA,NA,25,NA,NA,0.04,0.32,0.778,0.797,0.805,1.90000000000001,17
"115",115,"2022-04-07","WHO_Tubes",1,5,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,7,9,NA,NA,22,NA,NA,0.318181818181818,0.409090909090909,0.778,0.797,0.805,1.90000000000001,13
"116",116,"2022-04-07","WHO_Tubes",1,6,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,7,10,NA,NA,26,NA,NA,0.269230769230769,0.384615384615385,0.778,0.797,0.805,1.90000000000001,16
"117",117,"2022-04-07","WHO_Tubes",1,7,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,3,7,NA,NA,24,NA,NA,0.125,0.291666666666667,0.778,0.797,0.805,1.90000000000001,17
"118",118,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,25,NA,NA,0,0.04,0.778,0.797,0.805,1.90000000000001,24
"119",119,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,24
"120",120,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,2,7,NA,NA,25,NA,NA,0.08,0.28,0.778,0.797,0.805,1.90000000000001,18
"121",121,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,6,NA,NA,25,NA,NA,0.04,0.24,0.778,0.797,0.805,1.90000000000001,19
"122",122,"2022-04-07","WHO_Tubes",1,3,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,3,9,NA,NA,25,NA,NA,0.12,0.36,0.778,0.797,0.805,1.90000000000001,16
"123",123,"2022-04-07","WHO_Tubes",1,4,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,8,NA,NA,25,NA,NA,0.04,0.32,0.778,0.797,0.805,1.90000000000001,17
"124",124,"2022-04-07","WHO_Tubes",1,5,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,6,8,NA,NA,22,NA,NA,0.272727272727273,0.363636363636364,0.778,0.797,0.805,1.90000000000001,14
"125",125,"2022-04-07","WHO_Tubes",1,6,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,8,9,NA,NA,26,NA,NA,0.307692307692308,0.346153846153846,0.778,0.797,0.805,1.90000000000001,17
"126",126,"2022-04-07","WHO_Tubes",1,7,"Not Assesed","gpr","jag","jag",NA,NA,0.0288,0.0091,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,4,7,NA,NA,24,NA,NA,0.166666666666667,0.291666666666667,0.778,0.797,0.805,1.90000000000001,17
"127",127,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,27,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,27
"128",128,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,24
"129",129,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,5,4,NA,NA,24,NA,NA,0.208333333333333,0.166666666666667,0.778,0.797,0.805,1.90000000000001,20
"130",130,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,2,2,NA,NA,24,NA,NA,0.0833333333333333,0.0833333333333333,0.778,0.797,0.805,1.90000000000001,22
"131",131,"2022-04-07","WHO_Tubes",1,3,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,1,NA,NA,25,NA,NA,0.04,0.04,0.778,0.797,0.805,1.90000000000001,24
"132",132,"2022-04-07","WHO_Tubes",1,4,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,1,NA,NA,24,NA,NA,0,0.0416666666666667,0.778,0.797,0.805,1.90000000000001,23
"133",133,"2022-04-07","WHO_Tubes",1,5,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,26
"134",134,"2022-04-07","WHO_Tubes",1,6,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,0,NA,NA,23,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,23
"135",135,"2022-04-07","WHO_Tubes",1,7,"Not Assesed","jag","jag","jag",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,3,NA,NA,26,NA,NA,0,0.115384615384615,0.778,0.797,0.805,1.90000000000001,23
"136",136,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,27,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,27
"137",137,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,24,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,24
"138",138,"2022-04-07","WHO_Tubes",1,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,3,4,NA,NA,24,NA,NA,0.125,0.166666666666667,0.778,0.797,0.805,1.90000000000001,20
"139",139,"2022-04-07","WHO_Tubes",1,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,2,NA,NA,24,NA,NA,0.0416666666666667,0.0833333333333333,0.778,0.797,0.805,1.90000000000001,22
"140",140,"2022-04-07","WHO_Tubes",1,3,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,1,1,NA,NA,25,NA,NA,0.04,0.04,0.778,0.797,0.805,1.90000000000001,24
"141",141,"2022-04-07","WHO_Tubes",1,4,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,3,2,NA,NA,24,NA,NA,0.125,0.0833333333333333,0.778,0.797,0.805,1.90000000000001,22
"142",142,"2022-04-07","WHO_Tubes",1,5,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,26
"143",143,"2022-04-07","WHO_Tubes",1,6,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,0,NA,NA,23,NA,NA,0,0,0.778,0.797,0.805,1.90000000000001,23
"144",144,"2022-04-07","WHO_Tubes",1,7,"Not Assesed","jag","gpr","gpr",NA,NA,0.0278,0.00055,NA,"26.2",77.8,"26.1",79.7,"26.1",80.5,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,0,3,NA,NA,26,NA,NA,0,0.115384615384615,0.778,0.797,0.805,1.90000000000001,23
"145",145,"2022-04-13","WHO_Tubes",2,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,2,NA,NA,25,NA,NA,0,0.08,0.773,0.78,0.784,0.700000000000003,23
"146",146,"2022-04-13","WHO_Tubes",2,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,33,NA,NA,0,0.0303030303030303,0.773,0.78,0.784,0.700000000000003,32
"147",147,"2022-04-13","WHO_Tubes",2,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,14,21,NA,NA,32,NA,NA,0.4375,0.65625,0.773,0.78,0.784,0.700000000000003,11
"148",148,"2022-04-13","WHO_Tubes",2,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,8,10,NA,NA,26,NA,NA,0.307692307692308,0.384615384615385,0.773,0.78,0.784,0.700000000000003,16
"149",149,"2022-04-13","WHO_Tubes",2,3,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,5,16,NA,NA,27,NA,NA,0.185185185185185,0.592592592592593,0.773,0.78,0.784,0.700000000000003,11
"150",150,"2022-04-13","WHO_Tubes",2,4,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,6,16,NA,NA,27,NA,NA,0.222222222222222,0.592592592592593,0.773,0.78,0.784,0.700000000000003,11
"151",151,"2022-04-13","WHO_Tubes",2,5,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,7,16,NA,NA,26,NA,NA,0.269230769230769,0.615384615384615,0.773,0.78,0.784,0.700000000000003,10
"152",152,"2022-04-13","WHO_Tubes",2,6,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,7,12,NA,NA,25,NA,NA,0.28,0.48,0.773,0.78,0.784,0.700000000000003,13
"153",153,"2022-04-13","WHO_Tubes",2,7,"Not Assesed","gpr","gpr","gpr",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,14,20,NA,NA,24,NA,NA,0.583333333333333,0.833333333333333,0.773,0.78,0.784,0.700000000000003,4
"154",154,"2022-04-13","WHO_Tubes",2,1,"Not Assesed","gpr","jag","jag",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,2,NA,NA,25,NA,NA,0,0.08,0.773,0.78,0.784,0.700000000000003,23
"155",155,"2022-04-13","WHO_Tubes",2,2,"Not Assesed","gpr","jag","jag",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,1,1,NA,NA,33,NA,NA,0.0303030303030303,0.0303030303030303,0.773,0.78,0.784,0.700000000000003,32
"156",156,"2022-04-13","WHO_Tubes",2,1,"Not Assesed","gpr","jag","jag",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,17,21,NA,NA,32,NA,NA,0.53125,0.65625,0.773,0.78,0.784,0.700000000000003,11
"157",157,"2022-04-13","WHO_Tubes",2,2,"Not Assesed","gpr","jag","jag",NA,NA,0.016,4e-04,2.77,"27",77.3,"27",78,"27.1",78.4,NA,NA,NA,NA,"kisumu","permethrin","0.03",NA,NA,13,9,NA,NA,26,NA,NA,0.5,0.346153846153846,0.773,0.78,0.784,0.700000000000003,17
